,Codigo,Descripcion,Unidad,Costo_Materiales,Costo_Ejecucion,Costo_Total
0,1.0,PRELIMINARES DE OBRA,,,,
1,,"Trabajos, Tareas y Provisiones",,,,
2,1.01,Cartel de Obra,m2,"$ 44.962,52","$ 42.388,60","$ 87.351,11"
3,1.02,Cerco de Obra,m,"$ 23.407,56","$ 15.576,68","$ 38.984,24"
4,1.03,Limpieza inicial terreno; retiros grales.,m2,"$ 376,69","$ 3.144,36","$ 3.521,04"
5,1.04,Nivelación y replanteo de obra,m2,"$ 113,01","$ 6.389,36","$ 6.502,37"
6,1.05,"Obrador, construcciones provisorias",m2,"$ 36.647,05","$ 110.398,61","$ 147.045,65"
7,,Demoliciones y Retiros,,,,
8,1.06,"Contenedor, volquete 5m3 (alquiler)",día,"$ 0,00","$ 77.914,94","$ 77.914,94"
9,1.07,Demolición de contrapisos y otros solados,m2,"$ 0,00","$ 12.228,00","$ 12.228,00"
10,1.08,Demolición estructuras de hormigón armado,m3,"$ 0,00","$ 206.300,29","$ 206.300,29"
11,1.09,Demolición mamposterías ladrillos comunes,m3,"$ 0,00","$ 87.072,76","$ 87.072,76"
12,1.1,Demolición mamposterías ladrillos huecos,m2,"$ 0,00","$ 15.012,24","$ 15.012,24"
13,1.11,Picado de revoques ,m2,"$ 0,00","$ 10.678,35","$ 10.678,35"
14,1.12,Retiro de pisos/revestimientos,m2,"$ 0,00","$ 11.453,18","$ 11.453,18"
15,2.0,MOVIMIENTO DE TIERRA,,,,
16,,"Incluye mano de obra y/o maquinaria e insumos varios, para la cava, acarreo y desparramo internos en la obra, apisonado por capas; carga en camión y/o volquete",,,,
17,2.01,Desmonte; Terraplenamientos y rellenos a máquina,m3,"$ 0,00","$ 28.341,11","$ 28.341,11"
18,2.02,Desmonte; Terraplenamientos y rellenos manual,m3,"$ 0,00","$ 24.622,82","$ 24.622,82"
19,2.03,Excavación a máquina para subsuelo ,m3,"$ 0,00","$ 35.002,52","$ 35.002,52"
20,2.04,Excavación manual para bases de columnas,m3,"$ 0,00","$ 37.111,83","$ 37.111,83"
21,2.05,Excavación manual para zapata de muros,m3,"$ 0,00","$ 27.601,80","$ 27.601,80"
22,3.0,ESTRUCTURAS,,,,
23,,Hormigón Armado,,,,
